
level1,level1Label,level2,level2Label,level3,level3Label,level4,level4Label
http://jacs3.data.ac.uk/B000,Subjects allied to medicine,http://jacs3.data.ac.uk/B300,"Complementary medicines, therapies & well-being",http://jacs3.data.ac.uk/B340,Alternative medicine & therapies,http://jacs3.data.ac.uk/B343,Acupuncture
http://jacs3.data.ac.uk/B000,Subjects allied to medicine,http://jacs3.data.ac.uk/B300,"Complementary medicines, therapies & well-being",http://jacs3.data.ac.uk/B340,Alternative medicine & therapies,http://jacs3.data.ac.uk/B344,Aromatherapy
http://jacs3.data.ac.uk/B000,Subjects allied to medicine,http://jacs3.data.ac.uk/B300,"Complementary medicines, therapies & well-being",http://jacs3.data.ac.uk/B340,Alternative medicine & therapies,http://jacs3.data.ac.uk/B345,Hypnotherapy
http://jacs3.data.ac.uk/B000,Subjects allied to medicine,http://jacs3.data.ac.uk/B300,"Complementary medicines, therapies & well-being",http://jacs3.data.ac.uk/B340,Alternative medicine & therapies,http://jacs3.data.ac.uk/B346,Reflexology
http://jacs3.data.ac.uk/B000,Subjects allied to medicine,http://jacs3.data.ac.uk/B300,"Complementary medicines, therapies & well-being",http://jacs3.data.ac.uk/B350,Hair & beauty science,http://jacs3.data.ac.uk/B351,Hair services
http://jacs3.data.ac.uk/B000,Subjects allied to medicine,http://jacs3.data.ac.uk/B300,"Complementary medicines, therapies & well-being",http://jacs3.data.ac.uk/B350,Hair & beauty science,http://jacs3.data.ac.uk/B352,Beauty therapies
http://jacs3.data.ac.uk/B000,Subjects allied to medicine,http://jacs3.data.ac.uk/B300,"Complementary medicines, therapies & well-being",http://jacs3.data.ac.uk/B350,Hair & beauty science,http://jacs3.data.ac.uk/B353,Make-up
http://jacs3.data.ac.uk/B000,Subjects allied to medicine,http://jacs3.data.ac.uk/B300,"Complementary medicines, therapies & well-being",http://jacs3.data.ac.uk/B360,Spa & water-based therapies,,
http://jacs3.data.ac.uk/B000,Subjects allied to medicine,http://jacs3.data.ac.uk/B300,"Complementary medicines, therapies & well-being",http://jacs3.data.ac.uk/B390,"Complementary medicines, therapies & well-being not elsewhere classified",,
http://jacs3.data.ac.uk/B000,Subjects allied to medicine,http://jacs3.data.ac.uk/B400,Nutrition,http://jacs3.data.ac.uk/B410,Dietetics,,
http://jacs3.data.ac.uk/B000,Subjects allied to medicine,http://jacs3.data.ac.uk/B400,Nutrition,http://jacs3.data.ac.uk/B490,Nutrition not elsewhere classified,,
http://jacs3.data.ac.uk/B000,Subjects allied to medicine,http://jacs3.data.ac.uk/B500,Ophthalmics,http://jacs3.data.ac.uk/B510,Optometry,,
http://jacs3.data.ac.uk/B000,Subjects allied to medicine,http://jacs3.data.ac.uk/B500,Ophthalmics,http://jacs3.data.ac.uk/B520,Orthoptics,,
http://jacs3.data.ac.uk/B000,Subjects allied to medicine,http://jacs3.data.ac.uk/B500,Ophthalmics,http://jacs3.data.ac.uk/B590,Ophthalmics not elsewhere classified,,
http://jacs3.data.ac.uk/B000,Subjects allied to medicine,http://jacs3.data.ac.uk/B600,Aural & oral sciences,http://jacs3.data.ac.uk/B610,Audiology,,
http://jacs3.data.ac.uk/B000,Subjects allied to medicine,http://jacs3.data.ac.uk/B600,Aural & oral sciences,http://jacs3.data.ac.uk/B620,Speech science,,
http://jacs3.data.ac.uk/B000,Subjects allied to medicine,http://jacs3.data.ac.uk/B600,Aural & oral sciences,http://jacs3.data.ac.uk/B630,Language pathology,,
http://jacs3.data.ac.uk/B000,Subjects allied to medicine,http://jacs3.data.ac.uk/B600,Aural & oral sciences,http://jacs3.data.ac.uk/B690,Aural & oral sciences not elsewhere classified,,
http://jacs3.data.ac.uk/B000,Subjects allied to medicine,http://jacs3.data.ac.uk/B700,Nursing,http://jacs3.data.ac.uk/B710,Community nursing,http://jacs3.data.ac.uk/B712,Health visiting
http://jacs3.data.ac.uk/B000,Subjects allied to medicine,http://jacs3.data.ac.uk/B700,Nursing,http://jacs3.data.ac.uk/B710,Community nursing,http://jacs3.data.ac.uk/B713,School nursing
http://jacs3.data.ac.uk/B000,Subjects allied to medicine,http://jacs3.data.ac.uk/B700,Nursing,http://jacs3.data.ac.uk/B710,Community nursing,http://jacs3.data.ac.uk/B714,Practice nursing
http://jacs3.data.ac.uk/B000,Subjects allied to medicine,http://jacs3.data.ac.uk/B700,Nursing,http://jacs3.data.ac.uk/B720,Midwifery,,
http://jacs3.data.ac.uk/B000,Subjects allied to medicine,http://jacs3.data.ac.uk/B700,Nursing,http://jacs3.data.ac.uk/B730,Children's nursing,http://jacs3.data.ac.uk/B731,Neonatal care
http://jacs3.data.ac.uk/B000,Subjects allied to medicine,http://jacs3.data.ac.uk/B700,Nursing,http://jacs3.data.ac.uk/B740,Adult nursing,http://jacs3.data.ac.uk/B741,Older people nursing
http://jacs3.data.ac.uk/B000,Subjects allied to medicine,http://jacs3.data.ac.uk/B700,Nursing,http://jacs3.data.ac.uk/B750,Dental nursing,,
http://jacs3.data.ac.uk/B000,Subjects allied to medicine,http://jacs3.data.ac.uk/B700,Nursing,http://jacs3.data.ac.uk/B760,Mental health nursing,http://jacs3.data.ac.uk/B761,Learning disability nursing
http://jacs3.data.ac.uk/B000,Subjects allied to medicine,http://jacs3.data.ac.uk/B700,Nursing,http://jacs3.data.ac.uk/B770,Medical nursing,http://jacs3.data.ac.uk/B771,Critical care nursing
http://jacs3.data.ac.uk/B000,Subjects allied to medicine,http://jacs3.data.ac.uk/B700,Nursing,http://jacs3.data.ac.uk/B770,Medical nursing,http://jacs3.data.ac.uk/B772,Surgical nursing
http://jacs3.data.ac.uk/B000,Subjects allied to medicine,http://jacs3.data.ac.uk/B700,Nursing,http://jacs3.data.ac.uk/B770,Medical nursing,http://jacs3.data.ac.uk/B773,Emergency nursing
http://jacs3.data.ac.uk/B000,Subjects allied to medicine,http://jacs3.data.ac.uk/B700,Nursing,http://jacs3.data.ac.uk/B790,Nursing not elsewhere classified,,
http://jacs3.data.ac.uk/B000,Subjects allied to medicine,http://jacs3.data.ac.uk/B800,Medical technology,http://jacs3.data.ac.uk/B810,Cardiography,,
http://jacs3.data.ac.uk/B000,Subjects allied to medicine,http://jacs3.data.ac.uk/B800,Medical technology,http://jacs3.data.ac.uk/B820,Radiology,http://jacs3.data.ac.uk/B821,"Radiography, diagnostic"
http://jacs3.data.ac.uk/B000,Subjects allied to medicine,http://jacs3.data.ac.uk/B800,Medical technology,http://jacs3.data.ac.uk/B820,Radiology,http://jacs3.data.ac.uk/B822,"Radiography, therapeutic"
http://jacs3.data.ac.uk/B000,Subjects allied to medicine,http://jacs3.data.ac.uk/B800,Medical technology,http://jacs3.data.ac.uk/B830,Biomechanics & prosthetics (non-clinical),,
http://jacs3.data.ac.uk/B000,Subjects allied to medicine,http://jacs3.data.ac.uk/B800,Medical technology,http://jacs3.data.ac.uk/B840,Dental technology,,
http://jacs3.data.ac.uk/B000,Subjects allied to medicine,http://jacs3.data.ac.uk/B800,Medical technology,http://jacs3.data.ac.uk/B850,Mortuary technology,,
http://jacs3.data.ac.uk/B000,Subjects allied to medicine,http://jacs3.data.ac.uk/B800,Medical technology,http://jacs3.data.ac.uk/B890,Medical technology not elsewhere classified,,
http://jacs3.data.ac.uk/B000,Subjects allied to medicine,http://jacs3.data.ac.uk/B900,Others in subjects allied to medicine,http://jacs3.data.ac.uk/B910,Environmental health,,
http://jacs3.data.ac.uk/B000,Subjects allied to medicine,http://jacs3.data.ac.uk/B900,Others in subjects allied to medicine,http://jacs3.data.ac.uk/B920,Occupational health,,
http://jacs3.data.ac.uk/B000,Subjects allied to medicine,http://jacs3.data.ac.uk/B900,Others in subjects allied to medicine,http://jacs3.data.ac.uk/B930,Occupational therapy,,
http://jacs3.data.ac.uk/B000,Subjects allied to medicine,http://jacs3.data.ac.uk/B900,Others in subjects allied to medicine,http://jacs3.data.ac.uk/B940,Counselling,,
http://jacs3.data.ac.uk/B000,Subjects allied to medicine,http://jacs3.data.ac.uk/B900,Others in subjects allied to medicine,http://jacs3.data.ac.uk/B950,Paramedical science,,
http://jacs3.data.ac.uk/B000,Subjects allied to medicine,http://jacs3.data.ac.uk/B900,Others in subjects allied to medicine,http://jacs3.data.ac.uk/B960,Physician assistant studies,,
http://jacs3.data.ac.uk/B000,Subjects allied to medicine,http://jacs3.data.ac.uk/B900,Others in subjects allied to medicine,http://jacs3.data.ac.uk/B990,Subjects allied to medicine not elsewhere classified,,
http://jacs3.data.ac.uk/C000,Biological sciences,http://jacs3.data.ac.uk/C100,Biology,http://jacs3.data.ac.uk/C110,Applied biology,http://jacs3.data.ac.uk/C111,Parasitology
http://jacs3.data.ac.uk/C000,Biological sciences,http://jacs3.data.ac.uk/C100,Biology,http://jacs3.data.ac.uk/C120,Behavioural biology,,
http://jacs3.data.ac.uk/C000,Biological sciences,http://jacs3.data.ac.uk/C100,Biology,http://jacs3.data.ac.uk/C130,Cell biology,http://jacs3.data.ac.uk/C131,Applied cell biology
http://jacs3.data.ac.uk/C000,Biological sciences,http://jacs3.data.ac.uk/C100,Biology,http://jacs3.data.ac.uk/C140,Developmental/Reproductive biology,http://jacs3.data.ac.uk/C141,Developmental biology
http://jacs3.data.ac.uk/C000,Biological sciences,http://jacs3.data.ac.uk/C100,Biology,http://jacs3.data.ac.uk/C140,Developmental/Reproductive biology,http://jacs3.data.ac.uk/C142,Reproductive biology
http://jacs3.data.ac.uk/C000,Biological sciences,http://jacs3.data.ac.uk/C100,Biology,http://jacs3.data.ac.uk/C150,Environmental biology,,
http://jacs3.data.ac.uk/C000,Biological sciences,http://jacs3.data.ac.uk/C100,Biology,http://jacs3.data.ac.uk/C160,Marine/Freshwater biology,http://jacs3.data.ac.uk/C161,Marine biology
http://jacs3.data.ac.uk/C000,Biological sciences,http://jacs3.data.ac.uk/C100,Biology,http://jacs3.data.ac.uk/C160,Marine/Freshwater biology,http://jacs3.data.ac.uk/C162,Freshwater biology
http://jacs3.data.ac.uk/C000,Biological sciences,http://jacs3.data.ac.uk/C100,Biology,http://jacs3.data.ac.uk/C170,Population biology,,
http://jacs3.data.ac.uk/C000,Biological sciences,http://jacs3.data.ac.uk/C100,Biology,http://jacs3.data.ac.uk/C180,Ecology,http://jacs3.data.ac.uk/C181,Biodiversity
http://jacs3.data.ac.uk/C000,Biological sciences,http://jacs3.data.ac.uk/C100,Biology,http://jacs3.data.ac.uk/C180,Ecology,http://jacs3.data.ac.uk/C182,Evolution
http://jacs3.data.ac.uk/C000,Biological sciences,http://jacs3.data.ac.uk/C100,Biology,http://jacs3.data.ac.uk/C180,Ecology,http://jacs3.data.ac.uk/C183,Community ecology
http://jacs3.data.ac.uk/C000,Biological sciences,http://jacs3.data.ac.uk/C100,Biology,http://jacs3.data.ac.uk/C180,Ecology,http://jacs3.data.ac.uk/C184,Conservation ecology
http://jacs3.data.ac.uk/C000,Biological sciences,http://jacs3.data.ac.uk/C100,Biology,http://jacs3.data.ac.uk/C180,Ecology,http://jacs3.data.ac.uk/C185,Ecosystem ecology & land use
http://jacs3.data.ac.uk/C000,Biological sciences,http://jacs3.data.ac.uk/C100,Biology,http://jacs3.data.ac.uk/C180,Ecology,http://jacs3.data.ac.uk/C186,Population ecology
http://jacs3.data.ac.uk/C000,Biological sciences,http://jacs3.data.ac.uk/C100,Biology,http://jacs3.data.ac.uk/C180,Ecology,http://jacs3.data.ac.uk/C187,Ecotoxicology
http://jacs3.data.ac.uk/C000,Biological sciences,http://jacs3.data.ac.uk/C100,Biology,http://jacs3.data.ac.uk/C190,Biology not elsewhere classified,http://jacs3.data.ac.uk/C191,Biometry
http://jacs3.data.ac.uk/C000,Biological sciences,http://jacs3.data.ac.uk/C200,Botany,http://jacs3.data.ac.uk/C210,Applied botany,,
http://jacs3.data.ac.uk/C000,Biological sciences,http://jacs3.data.ac.uk/C200,Botany,http://jacs3.data.ac.uk/C220,Mycology,,
http://jacs3.data.ac.uk/C000,Biological sciences,http://jacs3.data.ac.uk/C200,Botany,http://jacs3.data.ac.uk/C230,Plant biotechnology,,
http://jacs3.data.ac.uk/C000,Biological sciences,http://jacs3.data.ac.uk/C200,Botany,http://jacs3.data.ac.uk/C240,Plant cell science,,
http://jacs3.data.ac.uk/C000,Biological sciences,http://jacs3.data.ac.uk/C200,Botany,http://jacs3.data.ac.uk/C250,Plant pathology,,
http://jacs3.data.ac.uk/C000,Biological sciences,http://jacs3.data.ac.uk/C200,Botany,http://jacs3.data.ac.uk/C260,Plant physiology,,
http://jacs3.data.ac.uk/C000,Biological sciences,http://jacs3.data.ac.uk/C200,Botany,http://jacs3.data.ac.uk/C270,Developmental & reproductive plant biology,,
http://jacs3.data.ac.uk/C000,Biological sciences,http://jacs3.data.ac.uk/C200,Botany,http://jacs3.data.ac.uk/C280,Systematic botany,,
http://jacs3.data.ac.uk/C000,Biological sciences,http://jacs3.data.ac.uk/C200,Botany,http://jacs3.data.ac.uk/C290,Botany not elsewhere classified,,
http://jacs3.data.ac.uk/C000,Biological sciences,http://jacs3.data.ac.uk/C300,Zoology,http://jacs3.data.ac.uk/C310,Applied zoology,,
http://jacs3.data.ac.uk/C000,Biological sciences,http://jacs3.data.ac.uk/C300,Zoology,http://jacs3.data.ac.uk/C320,Cell zoology,,
http://jacs3.data.ac.uk/C000,Biological sciences,http://jacs3.data.ac.uk/C300,Zoology,http://jacs3.data.ac.uk/C330,Developmental & reproductive zoology,,
http://jacs3.data.ac.uk/C000,Biological sciences,http://jacs3.data.ac.uk/C300,Zoology,http://jacs3.data.ac.uk/C340,Entomology,,
http://jacs3.data.ac.uk/C000,Biological sciences,http://jacs3.data.ac.uk/C300,Zoology,http://jacs3.data.ac.uk/C350,Marine zoology,,
http://jacs3.data.ac.uk/C000,Biological sciences,http://jacs3.data.ac.uk/C300,Zoology,http://jacs3.data.ac.uk/C360,Pest science,,
http://jacs3.data.ac.uk/C000,Biological sciences,http://jacs3.data.ac.uk/C300,Zoology,http://jacs3.data.ac.uk/C380,Systematic zoology,,
http://jacs3.data.ac.uk/C000,Biological sciences,http://jacs3.data.ac.uk/C300,Zoology,http://jacs3.data.ac.uk/C390,Zoology not elsewhere classified,,
http://jacs3.data.ac.uk/C000,Biological sciences,http://jacs3.data.ac.uk/C400,Genetics,http://jacs3.data.ac.uk/C410,Applied genetics,,
http://jacs3.data.ac.uk/C000,Biological sciences,http://jacs3.data.ac.uk/C400,Genetics,http://jacs3.data.ac.uk/C420,Human genetics,,
http://jacs3.data.ac.uk/C000,Biological sciences,http://jacs3.data.ac.uk/C400,Genetics,http://jacs3.data.ac.uk/C430,Medical & veterinary genetics,http://jacs3.data.ac.uk/C431,Medical genetics
http://jacs3.data.ac.uk/C000,Biological sciences,http://jacs3.data.ac.uk/C400,Genetics,http://jacs3.data.ac.uk/C430,Medical & veterinary genetics,http://jacs3.data.ac.uk/C432,Veterinary genetics
http://jacs3.data.ac.uk/C000,Biological sciences,http://jacs3.data.ac.uk/C400,Genetics,http://jacs3.data.ac.uk/C440,Molecular genetics,http://jacs3.data.ac.uk/C441,Transcriptomics
http://jacs3.data.ac.uk/C000,Biological sciences,http://jacs3.data.ac.uk/C400,Genetics,http://jacs3.data.ac.uk/C450,Genomics,http://jacs3.data.ac.uk/C451,Functional genomics
http://jacs3.data.ac.uk/C000,Biological sciences,http://jacs3.data.ac.uk/C400,Genetics,http://jacs3.data.ac.uk/C450,Genomics,http://jacs3.data.ac.uk/C452,Genome organisation
http://jacs3.data.ac.uk/C000,Biological sciences,http://jacs3.data.ac.uk/C400,Genetics,http://jacs3.data.ac.uk/C460,Genetic engineering,,
http://jacs3.data.ac.uk/C000,Biological sciences,http://jacs3.data.ac.uk/C400,Genetics,http://jacs3.data.ac.uk/C470,Population genetics & evolution,,
http://jacs3.data.ac.uk/C000,Biological sciences,http://jacs3.data.ac.uk/C400,Genetics,http://jacs3.data.ac.uk/C490,Genetics not elsewhere classified,,
http://jacs3.data.ac.uk/C000,Biological sciences,http://jacs3.data.ac.uk/C500,Microbiology,http://jacs3.data.ac.uk/C510,Applied microbiology,,
http://jacs3.data.ac.uk/C000,Biological sciences,http://jacs3.data.ac.uk/C500,Microbiology,http://jacs3.data.ac.uk/C520,Medical & veterinary microbiology,http://jacs3.data.ac.uk/C521,Medical microbiology
http://jacs3.data.ac.uk/C000,Biological sciences,http://jacs3.data.ac.uk/C500,Microbiology,http://jacs3.data.ac.uk/C520,Medical & veterinary microbiology,http://jacs3.data.ac.uk/C522,Veterinary microbiology
http://jacs3.data.ac.uk/C000,Biological sciences,http://jacs3.data.ac.uk/C500,Microbiology,http://jacs3.data.ac.uk/C530,Bacteriology,,
http://jacs3.data.ac.uk/C000,Biological sciences,http://jacs3.data.ac.uk/C500,Microbiology,http://jacs3.data.ac.uk/C540,Virology,,
http://jacs3.data.ac.uk/C000,Biological sciences,http://jacs3.data.ac.uk/C500,Microbiology,http://jacs3.data.ac.uk/C550,Immunology,,
http://jacs3.data.ac.uk/C000,Biological sciences,http://jacs3.data.ac.uk/C500,Microbiology,http://jacs3.data.ac.uk/C570,Serology,,
http://jacs3.data.ac.uk/C000,Biological sciences,http://jacs3.data.ac.uk/C500,Microbiology,http://jacs3.data.ac.uk/C590,Microbiology not elsewhere classified,,
http://jacs3.data.ac.uk/C000,Biological sciences,http://jacs3.data.ac.uk/C600,Sport & exercise science,http://jacs3.data.ac.uk/C610,Sport coaching,,
http://jacs3.data.ac.uk/C000,Biological sciences,http://jacs3.data.ac.uk/C600,Sport & exercise science,http://jacs3.data.ac.uk/C620,Sport development,,
http://jacs3.data.ac.uk/C000,Biological sciences,http://jacs3.data.ac.uk/C600,Sport & exercise science,http://jacs3.data.ac.uk/C630,"Sport conditioning, rehabilitation & therapy",,
http://jacs3.data.ac.uk/C000,Biological sciences,http://jacs3.data.ac.uk/C600,Sport & exercise science,http://jacs3.data.ac.uk/C640,Sport studies,,
http://jacs3.data.ac.uk/C000,Biological sciences,http://jacs3.data.ac.uk/C600,Sport & exercise science,http://jacs3.data.ac.uk/C650,Sport technology,,
http://jacs3.data.ac.uk/C000,Biological sciences,http://jacs3.data.ac.uk/C600,Sport & exercise science,http://jacs3.data.ac.uk/C690,Sport & exercise science not elsewhere classified,,
http://jacs3.data.ac.uk/C000,Biological sciences,http://jacs3.data.ac.uk/C700,"Molecular biology, biophysics & biochemistry",http://jacs3.data.ac.uk/C710,"Applied molecular biology, biophysics & biochemistry",,
http://jacs3.data.ac.uk/C000,Biological sciences,http://jacs3.data.ac.uk/C700,"Molecular biology, biophysics & biochemistry",http://jacs3.data.ac.uk/C720,Biological chemistry,,
http://jacs3.data.ac.uk/C000,Biological sciences,http://jacs3.data.ac.uk/C700,"Molecular biology, biophysics & biochemistry",http://jacs3.data.ac.uk/C730,Metabolic biochemistry,,
http://jacs3.data.ac.uk/C000,Biological sciences,http://jacs3.data.ac.uk/C700,"Molecular biology, biophysics & biochemistry",http://jacs3.data.ac.uk/C740,Medical & veterinary biochemistry,http://jacs3.data.ac.uk/C741,Medical biochemistry
http://jacs3.data.ac.uk/C000,Biological sciences,http://jacs3.data.ac.uk/C700,"Molecular biology, biophysics & biochemistry",http://jacs3.data.ac.uk/C740,Medical & veterinary biochemistry,http://jacs3.data.ac.uk/C742,Veterinary biochemistry
http://jacs3.data.ac.uk/C000,Biological sciences,http://jacs3.data.ac.uk/C700,"Molecular biology, biophysics & biochemistry",http://jacs3.data.ac.uk/C750,Plant biochemistry,,
http://jacs3.data.ac.uk/C000,Biological sciences,http://jacs3.data.ac.uk/C700,"Molecular biology, biophysics & biochemistry",http://jacs3.data.ac.uk/C760,Biomolecular science,,
http://jacs3.data.ac.uk/C000,Biological sciences,http://jacs3.data.ac.uk/C700,"Molecular biology, biophysics & biochemistry",http://jacs3.data.ac.uk/C770,Biophysical science,,
http://jacs3.data.ac.uk/C000,Biological sciences,http://jacs3.data.ac.uk/C700,"Molecular biology, biophysics & biochemistry",http://jacs3.data.ac.uk/C790,"Molecular biology, biophysics & biochemistry not elsewhere classified",,
http://jacs3.data.ac.uk/C000,Biological sciences,http://jacs3.data.ac.uk/C800,Psychology,http://jacs3.data.ac.uk/C810,Applied psychology,http://jacs3.data.ac.uk/C811,Occupational psychology
http://jacs3.data.ac.uk/C000,Biological sciences,http://jacs3.data.ac.uk/C800,Psychology,http://jacs3.data.ac.uk/C810,Applied psychology,http://jacs3.data.ac.uk/C812,Educational psychology
http://jacs3.data.ac.uk/C000,Biological sciences,http://jacs3.data.ac.uk/C800,Psychology,http://jacs3.data.ac.uk/C810,Applied psychology,http://jacs3.data.ac.uk/C813,Sport psychology
http://jacs3.data.ac.uk/C000,Biological sciences,http://jacs3.data.ac.uk/C800,Psychology,http://jacs3.data.ac.uk/C810,Applied psychology,http://jacs3.data.ac.uk/C814,Organisational psychology
http://jacs3.data.ac.uk/C000,Biological sciences,http://jacs3.data.ac.uk/C800,Psychology,http://jacs3.data.ac.uk/C810,Applied psychology,http://jacs3.data.ac.uk/C815,Business psychology
http://jacs3.data.ac.uk/C000,Biological sciences,http://jacs3.data.ac.uk/C800,Psychology,http://jacs3.data.ac.uk/C810,Applied psychology,http://jacs3.data.ac.uk/C816,Forensic psychology
http://jacs3.data.ac.uk/C000,Biological sciences,http://jacs3.data.ac.uk/C800,Psychology,http://jacs3.data.ac.uk/C820,Developmental psychology,http://jacs3.data.ac.uk/C821,Child psychology
http://jacs3.data.ac.uk/C000,Biological sciences,http://jacs3.data.ac.uk/C800,Psychology,http://jacs3.data.ac.uk/C820,Developmental psychology,http://jacs3.data.ac.uk/C822,The psychology of ageing
http://jacs3.data.ac.uk/C000,Biological sciences,http://jacs3.data.ac.uk/C800,Psychology,http://jacs3.data.ac.uk/C830,Methodological & conceptual issues in psychology,http://jacs3.data.ac.uk/C831,Research methods in psychology
http://jacs3.data.ac.uk/C000,Biological sciences,http://jacs3.data.ac.uk/C800,Psychology,http://jacs3.data.ac.uk/C830,Methodological & conceptual issues in psychology,http://jacs3.data.ac.uk/C832,Quantitative psychology
http://jacs3.data.ac.uk/C000,Biological sciences,http://jacs3.data.ac.uk/C800,Psychology,http://jacs3.data.ac.uk/C830,Methodological & conceptual issues in psychology,http://jacs3.data.ac.uk/C833,Qualitative psychology
http://jacs3.data.ac.uk/C000,Biological sciences,http://jacs3.data.ac.uk/C800,Psychology,http://jacs3.data.ac.uk/C830,Methodological & conceptual issues in psychology,http://jacs3.data.ac.uk/C834,History of psychology
http://jacs3.data.ac.uk/C000,Biological sciences,http://jacs3.data.ac.uk/C800,Psychology,http://jacs3.data.ac.uk/C830,Methodological & conceptual issues in psychology,http://jacs3.data.ac.uk/C835,Philosophy of psychology
http://jacs3.data.ac.uk/C000,Biological sciences,http://jacs3.data.ac.uk/C800,Psychology,http://jacs3.data.ac.uk/C840,Psychology in health & medicine,http://jacs3.data.ac.uk/C841,Health psychology
http://jacs3.data.ac.uk/C000,Biological sciences,http://jacs3.data.ac.uk/C800,Psychology,http://jacs3.data.ac.uk/C840,Psychology in health & medicine,http://jacs3.data.ac.uk/C842,Clinical psychology
http://jacs3.data.ac.uk/C000,Biological sciences,http://jacs3.data.ac.uk/C800,Psychology,http://jacs3.data.ac.uk/C840,Psychology in health & medicine,http://jacs3.data.ac.uk/C843,Counselling psychology
http://jacs3.data.ac.uk/C000,Biological sciences,http://jacs3.data.ac.uk/C800,Psychology,http://jacs3.data.ac.uk/C840,Psychology in health & medicine,http://jacs3.data.ac.uk/C844,Psychotherapy
http://jacs3.data.ac.uk/C000,Biological sciences,http://jacs3.data.ac.uk/C800,Psychology,http://jacs3.data.ac.uk/C840,Psychology in health & medicine,http://jacs3.data.ac.uk/C845,Clinical neuropsychology
http://jacs3.data.ac.uk/C000,Biological sciences,http://jacs3.data.ac.uk/C800,Psychology,http://jacs3.data.ac.uk/C840,Psychology in health & medicine,http://jacs3.data.ac.uk/C846,Community psychology
